TransMorph_ssim_1_diffusion_1
,SSIM,det
p189,0.8901332020759583,0.01220703125
p190,0.9686657786369324,0.0
p191,0.9749445915222168,0.0
p192,0.9971530437469482,0.0
p193,0.9968768954277039,0.0
p194,0.9591633081436157,0.007080078125
p195,0.9691920876502991,0.009033203125
p196,0.9688432812690735,0.00048828125
p197,0.9716780781745911,0.0
p198,0.9455083012580872,0.00146484375
p199,0.9508650302886963,0.002197265625
p200,0.9829469919204712,0.0
p201,0.9838165640830994,0.0
p202,0.9436321258544922,0.0
p203,0.9725472927093506,0.002197265625
p204,0.982689619064331,0.001220703125
p205,0.9755672812461853,0.0
p206,0.9618217945098877,0.0
p207,0.9444513320922852,0.00341796875
p208,0.9688500761985779,0.0
p209,0.9708127379417419,0.0
p210,0.991510808467865,0.0
p211,0.9908331632614136,0.0
p212,0.985558032989502,0.0
p213,0.9866569638252258,0.000732421875
p214,0.9744783639907837,0.0
p215,0.9683740139007568,0.0
p216,0.6690698266029358,0.0087890625
p217,0.8052591681480408,0.009521484375
p218,0.9799773097038269,0.0
p219,0.9838399887084961,0.0
p220,0.9718665480613708,0.000244140625
p221,0.9647753238677979,0.0
p222,0.9813297986984253,0.0
p223,0.9847811460494995,0.0
p224,0.9886940121650696,0.0
p225,0.9886720776557922,0.0
p226,0.9644408822059631,0.0
p227,0.9699092507362366,0.0
p228,0.9268709421157837,0.0087890625
p229,0.8464469313621521,0.035400390625
p230,0.9089217185974121,0.0
p231,0.9034653902053833,0.032958984375
p232,0.9755229949951172,0.006591796875
p233,0.9791045188903809,0.0
p234,0.9523282051086426,0.001220703125
p235,0.9601223468780518,0.000732421875
p236,0.9858773350715637,0.0
p237,0.9856691956520081,0.0
p238,0.9701997637748718,0.0
p239,0.9679432511329651,0.001708984375
p240,0.9518502950668335,0.003173828125
p241,0.9433701038360596,0.002685546875
p242,0.9943810105323792,0.0
p243,0.9938939809799194,0.0
p244,0.9234954118728638,0.00146484375
p245,0.9379693865776062,0.0
p246,0.9582496285438538,0.0009765625
p247,0.9533337950706482,0.00341796875
p248,0.9676609039306641,0.0
p249,0.9669582843780518,0.00048828125
p250,0.931520402431488,0.0
p251,0.9195592403411865,0.000732421875
p252,0.9377612471580505,0.006103515625
p253,0.9567596316337585,0.000244140625
p254,0.9773880839347839,0.0
p255,0.9793155193328857,0.0
p256,0.9376249313354492,0.009033203125
p257,0.9003268480300903,0.0361328125
p258,0.9884502291679382,0.0
p259,0.9878376126289368,0.0
p260,0.9544140100479126,0.004150390625
p261,0.948536217212677,0.0
p262,0.9417548775672913,0.0
p263,0.9460380673408508,0.0
p264,0.9965687990188599,0.0
p265,0.9966295957565308,0.0
p266,0.9768508672714233,0.00048828125
p267,0.9805676937103271,0.0009765625
p268,0.9158360958099365,0.003662109375
p269,0.9133505821228027,0.00244140625
p270,0.9561564922332764,0.00048828125
p271,0.9461778998374939,0.0
p272,0.9482069611549377,0.00341796875
p273,0.9373223185539246,0.0
p274,0.9829196929931641,0.0
p275,0.9759007692337036,0.0
p276,0.9638395309448242,0.0
p277,0.9540945887565613,0.00048828125
p278,0.9527238011360168,0.002197265625
p279,0.9540903568267822,0.00244140625
p280,0.7642228603363037,0.04150390625
p281,0.8042395710945129,0.036376953125
p282,0.9325838088989258,0.00244140625
p283,0.9552836418151855,0.00244140625
p284,0.9829760193824768,0.0
p285,0.9845749139785767,0.0
p286,0.9079897999763489,0.0
p287,0.9434789419174194,0.001220703125
p288,0.9353815913200378,0.003173828125
p289,0.9452190399169922,0.010498046875
p290,0.9948124289512634,0.0
p291,0.9940653443336487,0.0
p292,0.9822008609771729,0.00048828125
p293,0.9764395356178284,0.0
p294,0.9240259528160095,0.000732421875
p295,0.9413608908653259,0.001220703125
p296,0.9957262873649597,0.0
p297,0.9938035607337952,0.0
p298,0.9838120937347412,0.0
p299,0.9823991060256958,0.0
p300,0.9355588555335999,0.00146484375
p301,0.9308387041091919,0.00927734375
p302,0.9783097505569458,0.0
p303,0.9824721217155457,0.0
p304,0.9883509278297424,0.0
p305,0.9893283843994141,0.0
p306,0.9765722155570984,0.0
p307,0.9749355912208557,0.0
p308,0.8666039109230042,0.00341796875
p309,0.8788831233978271,0.005859375
p310,0.9633176326751709,0.0
p311,0.95662921667099,0.001708984375
p312,0.9697950482368469,0.0
p313,0.9703948497772217,0.0
p314,0.9938658475875854,0.0
p315,0.9856050610542297,0.0
p316,0.9930292367935181,0.0
p317,0.9920523762702942,0.0
p318,0.9446911215782166,0.0
p319,0.9575515389442444,0.0
p320,0.9471458792686462,0.00146484375
p321,0.9438987970352173,0.002685546875
p322,0.9389390349388123,0.0
p323,0.964641809463501,0.0
p324,0.9112529754638672,0.025634765625
p325,0.9248825311660767,0.00390625
p326,0.8748181462287903,0.01416015625
p327,0.9099082350730896,0.001708984375
p328,0.98653644323349,0.0
p329,0.9867413640022278,0.0
p330,0.9801973700523376,0.0
p331,0.9883540868759155,0.0
p332,0.9304426312446594,0.005859375
p333,0.9176668524742126,0.009033203125
p334,0.9835510849952698,0.0
p335,0.9875900149345398,0.0
p336,0.8546128869056702,0.013916015625
p337,0.9238847494125366,0.00390625
p338,0.9688346982002258,0.001220703125
p339,0.9459632039070129,0.0
p340,0.9897059798240662,0.0
p341,0.9869138598442078,0.0
p342,0.9814823865890503,0.0
p343,0.9812098741531372,0.0
p344,0.9698274731636047,0.0048828125
p345,0.9685689806938171,0.00048828125
p346,0.9783594012260437,0.00048828125
p347,0.9811347126960754,0.0
p348,0.9526265263557434,0.0
p349,0.9525769352912903,0.0
p350,0.9708837866783142,0.0
p351,0.9714338779449463,0.0
p352,0.9904518127441406,0.0
p353,0.9878279566764832,0.0
p354,0.9947383403778076,0.0
p355,0.9939636588096619,0.0
p356,0.9935200810432434,0.0
p357,0.9870513081550598,0.0
p358,0.9507539868354797,0.0
p359,0.9400025010108948,0.0
p360,0.8490819334983826,0.005126953125
p361,0.8698796033859253,0.04541015625
p362,0.9635416865348816,0.005859375
p363,0.9467778205871582,0.00634765625
p364,0.942374587059021,0.006103515625
p365,0.9450646638870239,0.000244140625
p366,0.7149695158004761,0.006103515625
p367,0.7857912182807922,0.021728515625
p368,0.8361498117446899,0.009521484375
p369,0.8329354524612427,0.0166015625
p370,0.9627873301506042,0.0029296875
p371,0.9488276839256287,0.0
p372,0.9801267981529236,0.0
p373,0.9827890992164612,0.0
p374,0.9711682796478271,0.0048828125
p375,0.9658199548721313,0.0
p376,0.9571920037269592,0.002685546875
p377,0.9320192933082581,0.000244140625
p378,0.9665248394012451,0.006591796875
p379,0.959044337272644,0.0
p380,0.9319775104522705,0.004150390625
p381,0.9533660411834717,0.0
p382,0.9769111275672913,0.009765625
p383,0.9740936160087585,0.0
p384,0.9500405788421631,0.00439453125
p385,0.9540891051292419,0.0009765625
p386,0.9956294298171997,0.0
p387,0.9954333305358887,0.0
p388,0.9383227825164795,0.003173828125
p389,0.8676446080207825,0.01708984375
p390,0.9834952354431152,0.0
p391,0.9806177616119385,0.0
p392,0.9822869300842285,0.0
p393,0.9866534471511841,0.0
p394,0.9723012447357178,0.0
p395,0.9707536697387695,0.004638671875
p396,0.8904135227203369,0.000732421875
p397,0.8194848895072937,0.00732421875
p398,0.9736487865447998,0.0
p399,0.9733449816703796,0.0
p400,0.863502025604248,0.033447265625
p401,0.8949716687202454,0.007080078125
p402,0.9744699001312256,0.0
p403,0.9749742150306702,0.0
p404,0.8403065800666809,0.04443359375
p405,0.8421540260314941,0.063232421875
p406,0.9593248963356018,0.005126953125
p407,0.9558567404747009,0.00244140625
p408,0.9860618710517883,0.0
p409,0.9868309497833252,0.0
p410,0.9587077498435974,0.0009765625
p411,0.9500587582588196,0.0078125
p412,0.9796289801597595,0.001953125
p413,0.9796745181083679,0.0
p414,0.9642508029937744,0.0
p415,0.9655063152313232,0.0
p416,0.945506751537323,0.00048828125
p417,0.933019757270813,0.00244140625
p418,0.9909898042678833,0.0
p419,0.9913421869277954,0.0
p420,0.9782587289810181,0.0
p421,0.9786577224731445,0.0
p422,0.9846948385238647,0.0
p423,0.9867870807647705,0.0
p424,0.8140842318534851,0.034423828125
p425,0.8470931053161621,0.001708984375
p426,0.979434072971344,0.0
p427,0.9813886284828186,0.0
p428,0.9410996437072754,0.00927734375
p429,0.9343832731246948,0.010009765625
p430,0.9841724038124084,0.0
p431,0.9873954653739929,0.0
p432,0.9637975096702576,0.0
p433,0.9454419612884521,0.004638671875
p434,0.9733901619911194,0.00048828125
p435,0.9765511155128479,0.0009765625
p436,0.9863932728767395,0.0
p437,0.9874165654182434,0.0
p438,0.9715122580528259,0.0
p439,0.9696593284606934,0.0
p440,0.9541449546813965,0.0
p441,0.9654952883720398,0.007080078125
p442,0.9241638779640198,0.0
p443,0.9294294714927673,0.001953125
p444,0.9700838923454285,0.0
p445,0.9691101908683777,0.00390625
p446,0.8241757154464722,0.01904296875
p447,0.8206360340118408,0.0107421875
p448,0.9669998288154602,0.0
p449,0.9754886627197266,0.0
p450,0.9934467077255249,0.0
p451,0.9916660785675049,0.0
p452,0.9457682967185974,0.001220703125
p453,0.9561070799827576,0.001953125
p454,0.9131194353103638,0.001953125
p455,0.8784373998641968,0.000244140625
p456,0.9948083162307739,0.0
p457,0.995119035243988,0.0
p458,0.9729119539260864,0.0
p459,0.9766445755958557,0.0
p460,0.9793309569358826,0.0
p461,0.9805498123168945,0.0
p462,0.9634674787521362,0.0
p463,0.9755315184593201,0.0
p464,0.9730671048164368,0.000244140625
p465,0.9816635251045227,0.0
p466,0.9824469089508057,0.0
p467,0.9857971668243408,0.0
p468,0.9381279349327087,0.010498046875
p469,0.9271149635314941,0.022705078125
p470,0.9936168193817139,0.0
p471,0.9931119680404663,0.0
p472,0.9962054491043091,0.0
p473,0.9961571097373962,0.0
p474,0.9816927909851074,0.0009765625
p475,0.9786844849586487,0.0
p476,0.9832667112350464,0.0
p477,0.9819255471229553,0.0
p478,0.9084871411323547,0.006103515625
p479,0.8780108094215393,0.027099609375
p480,0.9799861311912537,0.001708984375
p481,0.9746929407119751,0.00537109375
p482,0.9418690800666809,0.005859375
p483,0.9406557679176331,0.0009765625
p484,0.9368896484375,0.0
p485,0.9351111054420471,0.0
p486,0.9528723955154419,0.00048828125
p487,0.9516646862030029,0.004638671875
p488,0.9410410523414612,0.01025390625
p489,0.9008719325065613,0.00927734375
p490,0.9241076707839966,0.013671875
p491,0.958443820476532,0.0
p492,0.8225980997085571,0.009033203125
p493,0.9202336668968201,0.005615234375
p494,0.9102275967597961,0.00048828125
p495,0.8885591626167297,0.005859375
p496,0.9586204886436462,0.000244140625
p497,0.9669386148452759,0.001708984375
p498,0.9904361367225647,0.0
p499,0.990104615688324,0.0
p500,0.9356796741485596,0.004150390625
p501,0.9378798007965088,0.0107421875
p502,0.9850635528564453,0.0
p503,0.978130578994751,0.0
p504,0.9526938199996948,0.0
p505,0.9610075950622559,0.0048828125
p506,0.9717344641685486,0.0
p507,0.97600257396698,0.009033203125
p508,0.9590449333190918,0.0
p509,0.9450592398643494,0.0
p510,0.9907791018486023,0.0
p511,0.9901439547538757,0.0
p512,0.9890488386154175,0.0
p513,0.9886936545372009,0.0
p514,0.9876149892807007,0.0
p515,0.9816480278968811,0.0
p516,0.9154603481292725,0.00146484375
p517,0.9297494292259216,0.000732421875
p518,0.9024144411087036,0.00537109375
p519,0.92011559009552,0.000732421875
p520,0.9317736625671387,0.00634765625
p521,0.9610803127288818,0.001220703125
p522,0.9541527032852173,0.0
p523,0.9656814932823181,0.0
p524,0.9794816374778748,0.0
p525,0.978823721408844,0.0
p526,0.9513487815856934,0.0
p527,0.9655722379684448,0.0
p528,0.771742582321167,0.02099609375
p529,0.7767011523246765,0.0146484375
p530,0.9814921021461487,0.0
p531,0.9800630211830139,0.0
p532,0.9439169764518738,0.003662109375
p533,0.9480971097946167,0.001708984375
p534,0.9370167255401611,0.001953125
p535,0.9451345205307007,0.00439453125
p536,0.9701018333435059,0.0
p537,0.978261411190033,0.0
p538,0.9755103588104248,0.0
p539,0.9769487977027893,0.0
p540,0.9377037286758423,0.008544921875
p541,0.9439104199409485,0.000244140625
p542,0.9713926911354065,0.000244140625
p543,0.9476024508476257,0.0
p544,0.9537321925163269,0.0
p545,0.9390564560890198,0.00244140625
p546,0.96262127161026,0.0009765625
p547,0.9690740704536438,0.00048828125
p548,0.9921973943710327,0.0
p549,0.9853832125663757,0.0
p550,0.9935979843139648,0.0
p551,0.9937921762466431,0.0
p552,0.9865735173225403,0.0
p553,0.9869150519371033,0.0
p554,0.9841163754463196,0.0
p555,0.9873270988464355,0.0
p556,0.9700108766555786,0.0
p557,0.9468017220497131,0.0
p558,0.974624514579773,0.0
p559,0.9796544313430786,0.01123046875
p560,0.9310573935508728,0.005859375
p561,0.9514477252960205,0.0029296875
p562,0.9216670989990234,0.006103515625
p563,0.9415099620819092,0.0
p564,0.9816722273826599,0.0
p565,0.9854819774627686,0.0
p566,0.981850266456604,0.0
p567,0.9841550588607788,0.0
p568,0.9058648943901062,0.029296875
p569,0.9102153778076172,0.0
p570,0.963092565536499,0.0029296875
p571,0.9745886325836182,0.0
p572,0.977438747882843,0.0009765625
p573,0.9718995690345764,0.0
p574,0.9774051308631897,0.000732421875
p575,0.9643397331237793,0.0
p576,0.9406200647354126,0.0
p577,0.9675341248512268,0.00146484375
p578,0.9473682641983032,0.007568359375
p579,0.9446007013320923,0.0
p580,0.9431207776069641,0.00048828125
p581,0.9689136743545532,0.00048828125
p582,0.9076976180076599,0.0
p583,0.9460259079933167,0.008056640625
p584,0.9891996383666992,0.0
p585,0.9899970889091492,0.0
